Epoch	Natural Test Acc	PGD10 Acc	Noise_rate	Valid_acc	
1.000000	0.305000	0.224900	0.050000	0.224800	
2.000000	0.289200	0.216200	0.050000	0.216200	
3.000000	0.308300	0.227300	0.050000	0.227200	
4.000000	0.324700	0.197400	0.050000	0.198000	
5.000000	0.423100	0.277800	0.050000	0.277700	
6.000000	0.417300	0.263200	0.050000	0.262200	
7.000000	0.447100	0.297900	0.050000	0.297600	
8.000000	0.472500	0.318100	0.050000	0.317800	
9.000000	0.453000	0.314700	0.050000	0.314800	
10.000000	0.448200	0.289400	0.050000	0.289500	
11.000000	0.494100	0.320800	0.050000	0.321000	
12.000000	0.518400	0.338300	0.050000	0.338400	
13.000000	0.474200	0.322400	0.050000	0.322600	
14.000000	0.556700	0.348000	0.050000	0.348200	
15.000000	0.533000	0.335800	0.050000	0.335300	
16.000000	0.553300	0.354200	0.050000	0.355200	
17.000000	0.539300	0.357900	0.050000	0.358300	
18.000000	0.552100	0.342800	0.050000	0.343300	
19.000000	0.545600	0.368300	0.050000	0.368600	
20.000000	0.566800	0.384700	0.050000	0.384500	
21.000000	0.571500	0.381900	0.050000	0.381800	
22.000000	0.542300	0.371800	0.050000	0.371400	
23.000000	0.559700	0.328100	0.050000	0.327700	
24.000000	0.574800	0.371600	0.050000	0.371500	
25.000000	0.577500	0.393100	0.050000	0.392500	
26.000000	0.568900	0.381600	0.050000	0.381800	
27.000000	0.581300	0.374900	0.050000	0.374500	
28.000000	0.573900	0.379600	0.050000	0.380400	
29.000000	0.592500	0.394300	0.050000	0.394600	
30.000000	0.581900	0.388200	0.050000	0.388600	
31.000000	0.575900	0.390100	0.050000	0.389800	
32.000000	0.599200	0.398400	0.050000	0.398000	
33.000000	0.563100	0.386500	0.050000	0.385800	
34.000000	0.576600	0.392500	0.050000	0.391800	
35.000000	0.592400	0.391000	0.052500	0.391100	
36.000000	0.554500	0.364000	0.055125	0.364400	
37.000000	0.566200	0.386400	0.055125	0.386800	
38.000000	0.584000	0.403700	0.055125	0.404800	
39.000000	0.579000	0.358100	0.057881	0.357600	
40.000000	0.549900	0.332000	0.060775	0.332600	
41.000000	0.585800	0.400600	0.060775	0.399500	
42.000000	0.577600	0.365700	0.063814	0.365900	
43.000000	0.583300	0.390700	0.063814	0.390600	
44.000000	0.596400	0.382600	0.067005	0.382700	
45.000000	0.588900	0.386000	0.070355	0.386200	
46.000000	0.585800	0.385400	0.070355	0.385200	
47.000000	0.568200	0.379300	0.073873	0.379400	
48.000000	0.583800	0.392000	0.077566	0.392200	
49.000000	0.586600	0.386000	0.077566	0.385900	
50.000000	0.605300	0.393300	0.077566	0.394000	
51.000000	0.586300	0.403200	0.077566	0.404100	
52.000000	0.594400	0.386100	0.077566	0.386100	
53.000000	0.582900	0.391300	0.077566	0.391500	
54.000000	0.565800	0.356500	0.081445	0.355600	
55.000000	0.592500	0.371100	0.085517	0.370900	
56.000000	0.620000	0.404500	0.085517	0.404500	
57.000000	0.628700	0.409800	0.085517	0.409800	
58.000000	0.603700	0.376500	0.089793	0.376400	
59.000000	0.606800	0.413800	0.089793	0.414100	
60.000000	0.638500	0.408900	0.089793	0.408900	
61.000000	0.595100	0.402900	0.094282	0.403000	
62.000000	0.590300	0.398500	0.094282	0.398600	
63.000000	0.626200	0.402200	0.094282	0.402000	
64.000000	0.623200	0.410500	0.094282	0.410100	
65.000000	0.601200	0.404500	0.094282	0.404300	
66.000000	0.597300	0.378700	0.098997	0.378800	
67.000000	0.626000	0.407700	0.103946	0.408300	
68.000000	0.620600	0.383800	0.103946	0.383300	
69.000000	0.603400	0.384300	0.109144	0.384200	
70.000000	0.618100	0.399700	0.114601	0.399400	
71.000000	0.609400	0.377700	0.120331	0.377800	
72.000000	0.641600	0.417500	0.120331	0.417000	
73.000000	0.608900	0.407500	0.120331	0.408300	
74.000000	0.632700	0.411300	0.120331	0.410600	
75.000000	0.620100	0.379300	0.126348	0.379800	
76.000000	0.588800	0.369400	0.132665	0.368900	
77.000000	0.628700	0.399100	0.139298	0.398600	
78.000000	0.626000	0.410800	0.139298	0.411000	
79.000000	0.616300	0.408300	0.139298	0.408700	
80.000000	0.629600	0.421500	0.139298	0.421700	
81.000000	0.633700	0.407800	0.139298	0.408100	
82.000000	0.639700	0.395500	0.146263	0.396600	
83.000000	0.605100	0.418600	0.146263	0.418200	
84.000000	0.624000	0.391700	0.153576	0.391800	
85.000000	0.617500	0.408700	0.153576	0.408600	
86.000000	0.615600	0.368000	0.161255	0.367200	
87.000000	0.580500	0.350800	0.169318	0.349900	
88.000000	0.628100	0.402100	0.177784	0.402500	
89.000000	0.630100	0.404900	0.186673	0.405500	
90.000000	0.610500	0.403500	0.196006	0.403100	
91.000000	0.605600	0.400500	0.205807	0.400700	
92.000000	0.616500	0.406700	0.205807	0.406700	
93.000000	0.610700	0.401500	0.216097	0.401300	
94.000000	0.629600	0.411000	0.216097	0.411100	
95.000000	0.624300	0.412600	0.216097	0.413200	
96.000000	0.608200	0.407800	0.216097	0.407700	
97.000000	0.613200	0.382400	0.216097	0.382300	
98.000000	0.631700	0.416400	0.216097	0.416000	
99.000000	0.617800	0.404200	0.226902	0.404300	
100.000000	0.685700	0.477200	0.226902	0.477000	
101.000000	0.697100	0.478700	0.226902	0.479300	
102.000000	0.706200	0.487200	0.226902	0.486500	
103.000000	0.707300	0.488500	0.226902	0.488500	
104.000000	0.702000	0.491600	0.226902	0.491900	
105.000000	0.708600	0.489000	0.226902	0.489200	
106.000000	0.721000	0.490700	0.226902	0.491600	
107.000000	0.711600	0.490900	0.226902	0.490600	
108.000000	0.710200	0.491500	0.226902	0.492000	
109.000000	0.714500	0.492700	0.226902	0.492700	
110.000000	0.714900	0.486100	0.226902	0.485500	
111.000000	0.705100	0.484700	0.226902	0.484500	
112.000000	0.714400	0.487200	0.226902	0.487100	
113.000000	0.723400	0.492100	0.226902	0.491300	
114.000000	0.713700	0.486600	0.238247	0.486100	
115.000000	0.730600	0.487700	0.250159	0.488200	
116.000000	0.717800	0.488400	0.262667	0.487800	
117.000000	0.724400	0.489600	0.275801	0.489200	
118.000000	0.718400	0.480100	0.289591	0.479800	
119.000000	0.728700	0.488700	0.304070	0.488300	
120.000000	0.714100	0.483300	0.319274	0.483100	
121.000000	0.718500	0.488000	0.319274	0.487800	
122.000000	0.714700	0.485100	0.335238	0.486000	
123.000000	0.732300	0.480900	0.351999	0.481000	
124.000000	0.729900	0.481600	0.369599	0.481300	
125.000000	0.721900	0.476300	0.388079	0.475500	
126.000000	0.710100	0.478300	0.407483	0.477800	
127.000000	0.732300	0.476500	0.427858	0.476400	
128.000000	0.706100	0.471400	0.449250	0.471200	
129.000000	0.718000	0.478300	0.471713	0.478000	
130.000000	0.728500	0.484600	0.471713	0.484300	
131.000000	0.735400	0.478300	0.495299	0.477800	
132.000000	0.733600	0.482900	0.520063	0.482900	
133.000000	0.699900	0.467800	0.546067	0.467500	
